nomor_perkara,judul,tahun,amar_putusan,url_detail,kategori_amar,jenis_Lainnya,jenis_PHPU,jenis_Pengujian UU,jenis_Sengketa Lembaga,y_dikabulkan
PUT-0024/2023,Perkara Nomor 24,2020,Ditolak,https://jdih.mkri.id/detail/24,Ditolak,True,False,False,False,0
PUT-0025/2023,Perkara Nomor 25,2018,Ditolak,https://jdih.mkri.id/detail/25,Ditolak,False,True,False,False,0
PUT-0026/2023,Perkara Nomor 26,2019,Ditolak,https://jdih.mkri.id/detail/26,Ditolak,False,False,True,False,0
PUT-0027/2023,Perkara Nomor 27,2021,Dikabulkan,https://jdih.mkri.id/detail/27,Dikabulkan,False,True,False,False,1
PUT-0028/2023,Perkara Nomor 28,2021,Tidak Diterima,https://jdih.mkri.id/detail/28,Tidak Diterima,False,False,False,True,0
PUT-0029/2023,Perkara Nomor 29,2018,Dikabulkan,https://jdih.mkri.id/detail/29,Dikabulkan,False,True,False,False,1
PUT-0030/2023,Perkara Nomor 30,2020,Ditolak,https://jdih.mkri.id/detail/30,Ditolak,False,False,False,True,0
PUT-0031/2023,Perkara Nomor 31,2021,Ditolak,https://jdih.mkri.id/detail/31,Ditolak,False,False,True,False,0
PUT-0032/2023,Perkara Nomor 32,2019,Dikabulkan,https://jdih.mkri.id/detail/32,Dikabulkan,False,False,True,False,1
PUT-0033/2023,Perkara Nomor 33,2019,Tidak Diterima,https://jdih.mkri.id/detail/33,Tidak Diterima,False,False,False,True,0
PUT-0034/2023,Perkara Nomor 34,2022,Tidak Diterima,https://jdih.mkri.id/detail/34,Tidak Diterima,False,False,True,False,0
PUT-0035/2023,Perkara Nomor 35,2020,Dikabulkan,https://jdih.mkri.id/detail/35,Dikabulkan,False,True,False,False,1
PUT-0036/2023,Perkara Nomor 36,2020,Dikabulkan,https://jdih.mkri.id/detail/36,Dikabulkan,True,False,False,False,1
PUT-0037/2023,Perkara Nomor 37,2020,Ditolak,https://jdih.mkri.id/detail/37,Ditolak,False,False,True,False,0
PUT-0038/2023,Perkara Nomor 38,2019,Tidak Diterima,https://jdih.mkri.id/detail/38,Tidak Diterima,False,False,True,False,0
PUT-0039/2023,Perkara Nomor 39,2020,Ditolak,https://jdih.mkri.id/detail/39,Ditolak,False,False,True,False,0
PUT-0040/2023,Perkara Nomor 40,2023,Ditolak,https://jdih.mkri.id/detail/40,Ditolak,False,True,False,False,0
PUT-0041/2023,Perkara Nomor 41,2021,Ditolak,https://jdih.mkri.id/detail/41,Ditolak,False,False,True,False,0
PUT-0042/2023,Perkara Nomor 42,2022,Dikabulkan,https://jdih.mkri.id/detail/42,Dikabulkan,False,False,True,False,1
PUT-0043/2023,Perkara Nomor 43,2018,Dikabulkan,https://jdih.mkri.id/detail/43,Dikabulkan,False,False,True,False,1
PUT-0044/2023,Perkara Nomor 44,2022,Dikabulkan,https://jdih.mkri.id/detail/44,Dikabulkan,False,False,False,True,1
PUT-0045/2023,Perkara Nomor 45,2022,Ditolak,https://jdih.mkri.id/detail/45,Ditolak,False,False,True,False,0
PUT-0046/2023,Perkara Nomor 46,2023,Ditolak,https://jdih.mkri.id/detail/46,Ditolak,True,False,False,False,0
PUT-0047/2023,Perkara Nomor 47,2019,Ditolak,https://jdih.mkri.id/detail/47,Ditolak,False,True,False,False,0
PUT-0048/2023,Perkara Nomor 48,2023,Tidak Diterima,https://jdih.mkri.id/detail/48,Tidak Diterima,False,True,False,False,0
PUT-0049/2023,Perkara Nomor 49,2023,Ditolak,https://jdih.mkri.id/detail/49,Ditolak,False,False,True,False,0
PUT-0050/2023,Perkara Nomor 50,2020,Tidak Diterima,https://jdih.mkri.id/detail/50,Tidak Diterima,False,True,False,False,0
PUT-0051/2023,Perkara Nomor 51,2020,Dikabulkan,https://jdih.mkri.id/detail/51,Dikabulkan,False,False,False,True,1
PUT-0052/2023,Perkara Nomor 52,2020,Ditolak,https://jdih.mkri.id/detail/52,Ditolak,False,True,False,False,0
PUT-0053/2023,Perkara Nomor 53,2022,Ditolak,https://jdih.mkri.id/detail/53,Ditolak,False,False,True,False,0
PUT-0054/2023,Perkara Nomor 54,2019,Ditolak,https://jdih.mkri.id/detail/54,Ditolak,False,True,False,False,0
PUT-0055/2023,Perkara Nomor 55,2021,Ditolak,https://jdih.mkri.id/detail/55,Ditolak,False,False,True,False,0
PUT-0056/2023,Perkara Nomor 56,2019,Dikabulkan,https://jdih.mkri.id/detail/56,Dikabulkan,False,False,True,False,1
PUT-0057/2023,Perkara Nomor 57,2020,Ditolak,https://jdih.mkri.id/detail/57,Ditolak,False,True,False,False,0
PUT-0058/2023,Perkara Nomor 58,2022,Tidak Diterima,https://jdih.mkri.id/detail/58,Tidak Diterima,False,False,True,False,0
PUT-0059/2023,Perkara Nomor 59,2019,Dikabulkan,https://jdih.mkri.id/detail/59,Dikabulkan,True,False,False,False,1
PUT-0060/2023,Perkara Nomor 60,2019,Dikabulkan,https://jdih.mkri.id/detail/60,Dikabulkan,False,True,False,False,1
PUT-0061/2023,Perkara Nomor 61,2021,Dikabulkan,https://jdih.mkri.id/detail/61,Dikabulkan,False,False,False,True,1
PUT-0062/2023,Perkara Nomor 62,2021,Ditolak,https://jdih.mkri.id/detail/62,Ditolak,False,False,True,False,0
PUT-0063/2023,Perkara Nomor 63,2023,Tidak Diterima,https://jdih.mkri.id/detail/63,Tidak Diterima,False,False,True,False,0
PUT-0064/2023,Perkara Nomor 64,2022,Dikabulkan,https://jdih.mkri.id/detail/64,Dikabulkan,False,False,True,False,1
PUT-0065/2023,Perkara Nomor 65,2022,Ditolak,https://jdih.mkri.id/detail/65,Ditolak,False,False,True,False,0
PUT-0066/2023,Perkara Nomor 66,2021,Ditolak,https://jdih.mkri.id/detail/66,Ditolak,False,False,True,False,0
PUT-0067/2023,Perkara Nomor 67,2018,Dikabulkan,https://jdih.mkri.id/detail/67,Dikabulkan,False,True,False,False,1
PUT-0068/2023,Perkara Nomor 68,2020,Tidak Diterima,https://jdih.mkri.id/detail/68,Tidak Diterima,False,True,False,False,0
PUT-0069/2023,Perkara Nomor 69,2021,Ditolak,https://jdih.mkri.id/detail/69,Ditolak,False,True,False,False,0
PUT-0070/2023,Perkara Nomor 70,2020,Dikabulkan,https://jdih.mkri.id/detail/70,Dikabulkan,False,False,True,False,1
PUT-0071/2023,Perkara Nomor 71,2023,Ditolak,https://jdih.mkri.id/detail/71,Ditolak,False,False,True,False,0
PUT-0072/2023,Perkara Nomor 72,2022,Ditolak,https://jdih.mkri.id/detail/72,Ditolak,False,False,True,False,0
PUT-0073/2023,Perkara Nomor 73,2021,Ditolak,https://jdih.mkri.id/detail/73,Ditolak,True,False,False,False,0
PUT-0074/2023,Perkara Nomor 74,2021,Ditolak,https://jdih.mkri.id/detail/74,Ditolak,False,False,True,False,0
PUT-0075/2023,Perkara Nomor 75,2019,Ditolak,https://jdih.mkri.id/detail/75,Ditolak,False,False,True,False,0
PUT-0076/2023,Perkara Nomor 76,2018,Tidak Diterima,https://jdih.mkri.id/detail/76,Tidak Diterima,True,False,False,False,0
PUT-0077/2023,Perkara Nomor 77,2021,Ditolak,https://jdih.mkri.id/detail/77,Ditolak,False,False,True,False,0
PUT-0078/2023,Perkara Nomor 78,2020,Ditolak,https://jdih.mkri.id/detail/78,Ditolak,False,True,False,False,0
PUT-0079/2023,Perkara Nomor 79,2018,Tidak Diterima,https://jdih.mkri.id/detail/79,Tidak Diterima,False,True,False,False,0
PUT-0080/2023,Perkara Nomor 80,2021,Ditolak,https://jdih.mkri.id/detail/80,Ditolak,False,True,False,False,0
PUT-0081/2023,Perkara Nomor 81,2018,Ditolak,https://jdih.mkri.id/detail/81,Ditolak,False,False,True,False,0
PUT-0082/2023,Perkara Nomor 82,2020,Tidak Diterima,https://jdih.mkri.id/detail/82,Tidak Diterima,False,False,True,False,0
PUT-0083/2023,Perkara Nomor 83,2023,Ditolak,https://jdih.mkri.id/detail/83,Ditolak,False,False,True,False,0
PUT-0084/2023,Perkara Nomor 84,2021,Ditolak,https://jdih.mkri.id/detail/84,Ditolak,False,False,False,True,0
PUT-0085/2023,Perkara Nomor 85,2019,Tidak Diterima,https://jdih.mkri.id/detail/85,Tidak Diterima,False,True,False,False,0
PUT-0086/2023,Perkara Nomor 86,2023,Tidak Diterima,https://jdih.mkri.id/detail/86,Tidak Diterima,False,True,False,False,0
PUT-0087/2023,Perkara Nomor 87,2021,Dikabulkan,https://jdih.mkri.id/detail/87,Dikabulkan,False,False,True,False,1
PUT-0088/2023,Perkara Nomor 88,2023,Ditolak,https://jdih.mkri.id/detail/88,Ditolak,False,False,True,False,0
PUT-0089/2023,Perkara Nomor 89,2023,Dikabulkan,https://jdih.mkri.id/detail/89,Dikabulkan,False,False,False,True,1
PUT-0090/2023,Perkara Nomor 90,2021,Tidak Diterima,https://jdih.mkri.id/detail/90,Tidak Diterima,True,False,False,False,0
PUT-0091/2023,Perkara Nomor 91,2018,Tidak Diterima,https://jdih.mkri.id/detail/91,Tidak Diterima,False,False,False,True,0
PUT-0092/2023,Perkara Nomor 92,2021,Ditolak,https://jdih.mkri.id/detail/92,Ditolak,True,False,False,False,0
PUT-0093/2023,Perkara Nomor 93,2021,Dikabulkan,https://jdih.mkri.id/detail/93,Dikabulkan,False,True,False,False,1
PUT-0094/2023,Perkara Nomor 94,2021,Dikabulkan,https://jdih.mkri.id/detail/94,Dikabulkan,False,False,True,False,1
PUT-0095/2023,Perkara Nomor 95,2019,Ditolak,https://jdih.mkri.id/detail/95,Ditolak,False,False,True,False,0
PUT-0096/2023,Perkara Nomor 96,2021,Ditolak,https://jdih.mkri.id/detail/96,Ditolak,False,True,False,False,0
PUT-0097/2023,Perkara Nomor 97,2023,Ditolak,https://jdih.mkri.id/detail/97,Ditolak,False,False,True,False,0
PUT-0098/2023,Perkara Nomor 98,2021,Dikabulkan,https://jdih.mkri.id/detail/98,Dikabulkan,False,False,True,False,1
PUT-0099/2023,Perkara Nomor 99,2020,Tidak Diterima,https://jdih.mkri.id/detail/99,Tidak Diterima,False,False,True,False,0
PUT-0100/2023,Perkara Nomor 100,2018,Tidak Diterima,https://jdih.mkri.id/detail/100,Tidak Diterima,False,False,True,False,0
PUT-0101/2023,Perkara Nomor 101,2021,Tidak Diterima,https://jdih.mkri.id/detail/101,Tidak Diterima,True,False,False,False,0
PUT-0102/2023,Perkara Nomor 102,2019,Dikabulkan,https://jdih.mkri.id/detail/102,Dikabulkan,False,False,False,True,1
PUT-0103/2023,Perkara Nomor 103,2020,Ditolak,https://jdih.mkri.id/detail/103,Ditolak,False,True,False,False,0
PUT-0104/2023,Perkara Nomor 104,2018,Dikabulkan,https://jdih.mkri.id/detail/104,Dikabulkan,False,True,False,False,1
PUT-0105/2023,Perkara Nomor 105,2022,Tidak Diterima,https://jdih.mkri.id/detail/105,Tidak Diterima,False,False,False,True,0
PUT-0106/2023,Perkara Nomor 106,2023,Ditolak,https://jdih.mkri.id/detail/106,Ditolak,False,True,False,False,0
PUT-0107/2023,Perkara Nomor 107,2021,Tidak Diterima,https://jdih.mkri.id/detail/107,Tidak Diterima,False,True,False,False,0
PUT-0108/2023,Perkara Nomor 108,2020,Tidak Diterima,https://jdih.mkri.id/detail/108,Tidak Diterima,False,False,False,True,0
PUT-0109/2023,Perkara Nomor 109,2022,Dikabulkan,https://jdih.mkri.id/detail/109,Dikabulkan,False,False,True,False,1
PUT-0110/2023,Perkara Nomor 110,2018,Ditolak,https://jdih.mkri.id/detail/110,Ditolak,False,True,False,False,0
PUT-0111/2023,Perkara Nomor 111,2020,Tidak Diterima,https://jdih.mkri.id/detail/111,Tidak Diterima,False,False,True,False,0
PUT-0112/2023,Perkara Nomor 112,2020,Ditolak,https://jdih.mkri.id/detail/112,Ditolak,False,False,True,False,0
PUT-0113/2023,Perkara Nomor 113,2018,Ditolak,https://jdih.mkri.id/detail/113,Ditolak,False,True,False,False,0
PUT-0114/2023,Perkara Nomor 114,2022,Tidak Diterima,https://jdih.mkri.id/detail/114,Tidak Diterima,False,False,True,False,0
PUT-0115/2023,Perkara Nomor 115,2019,Dikabulkan,https://jdih.mkri.id/detail/115,Dikabulkan,False,True,False,False,1
PUT-0116/2023,Perkara Nomor 116,2018,Tidak Diterima,https://jdih.mkri.id/detail/116,Tidak Diterima,False,True,False,False,0
PUT-0117/2023,Perkara Nomor 117,2021,Tidak Diterima,https://jdih.mkri.id/detail/117,Tidak Diterima,False,True,False,False,0
PUT-0118/2023,Perkara Nomor 118,2020,Tidak Diterima,https://jdih.mkri.id/detail/118,Tidak Diterima,False,True,False,False,0
PUT-0119/2023,Perkara Nomor 119,2021,Ditolak,https://jdih.mkri.id/detail/119,Ditolak,False,False,True,False,0
PUT-0120/2023,Perkara Nomor 120,2019,Ditolak,https://jdih.mkri.id/detail/120,Ditolak,False,True,False,False,0
PUT-0121/2023,Perkara Nomor 121,2023,Tidak Diterima,https://jdih.mkri.id/detail/121,Tidak Diterima,False,False,False,True,0
PUT-0122/2023,Perkara Nomor 122,2021,Tidak Diterima,https://jdih.mkri.id/detail/122,Tidak Diterima,False,True,False,False,0
PUT-0123/2023,Perkara Nomor 123,2021,Tidak Diterima,https://jdih.mkri.id/detail/123,Tidak Diterima,False,False,True,False,0
PUT-0124/2023,Perkara Nomor 124,2019,Tidak Diterima,https://jdih.mkri.id/detail/124,Tidak Diterima,True,False,False,False,0
PUT-0125/2023,Perkara Nomor 125,2019,Ditolak,https://jdih.mkri.id/detail/125,Ditolak,False,False,True,False,0
PUT-0126/2023,Perkara Nomor 126,2021,Dikabulkan,https://jdih.mkri.id/detail/126,Dikabulkan,False,True,False,False,1
PUT-0127/2023,Perkara Nomor 127,2021,Tidak Diterima,https://jdih.mkri.id/detail/127,Tidak Diterima,False,True,False,False,0
PUT-0128/2023,Perkara Nomor 128,2022,Tidak Diterima,https://jdih.mkri.id/detail/128,Tidak Diterima,False,True,False,False,0
PUT-0129/2023,Perkara Nomor 129,2018,Dikabulkan,https://jdih.mkri.id/detail/129,Dikabulkan,False,False,True,False,1
PUT-0130/2023,Perkara Nomor 130,2022,Dikabulkan,https://jdih.mkri.id/detail/130,Dikabulkan,False,False,True,False,1
PUT-0131/2023,Perkara Nomor 131,2022,Ditolak,https://jdih.mkri.id/detail/131,Ditolak,False,False,True,False,0
PUT-0132/2023,Perkara Nomor 132,2020,Ditolak,https://jdih.mkri.id/detail/132,Ditolak,False,False,True,False,0
PUT-0133/2023,Perkara Nomor 133,2021,Tidak Diterima,https://jdih.mkri.id/detail/133,Tidak Diterima,False,False,True,False,0
PUT-0134/2023,Perkara Nomor 134,2020,Tidak Diterima,https://jdih.mkri.id/detail/134,Tidak Diterima,False,False,True,False,0
PUT-0135/2023,Perkara Nomor 135,2022,Dikabulkan,https://jdih.mkri.id/detail/135,Dikabulkan,False,False,True,False,1
PUT-0136/2023,Perkara Nomor 136,2023,Ditolak,https://jdih.mkri.id/detail/136,Ditolak,False,True,False,False,0
PUT-0137/2023,Perkara Nomor 137,2021,Tidak Diterima,https://jdih.mkri.id/detail/137,Tidak Diterima,True,False,False,False,0
PUT-0138/2023,Perkara Nomor 138,2019,Dikabulkan,https://jdih.mkri.id/detail/138,Dikabulkan,False,False,False,True,1
PUT-0139/2023,Perkara Nomor 139,2019,Ditolak,https://jdih.mkri.id/detail/139,Ditolak,True,False,False,False,0
PUT-0140/2023,Perkara Nomor 140,2019,Dikabulkan,https://jdih.mkri.id/detail/140,Dikabulkan,True,False,False,False,1
PUT-0141/2023,Perkara Nomor 141,2021,Dikabulkan,https://jdih.mkri.id/detail/141,Dikabulkan,False,True,False,False,1
PUT-0142/2023,Perkara Nomor 142,2021,Tidak Diterima,https://jdih.mkri.id/detail/142,Tidak Diterima,False,True,False,False,0
PUT-0143/2023,Perkara Nomor 143,2021,Ditolak,https://jdih.mkri.id/detail/143,Ditolak,False,True,False,False,0
PUT-0144/2023,Perkara Nomor 144,2020,Dikabulkan,https://jdih.mkri.id/detail/144,Dikabulkan,False,True,False,False,1
PUT-0145/2023,Perkara Nomor 145,2019,Tidak Diterima,https://jdih.mkri.id/detail/145,Tidak Diterima,False,False,True,False,0
PUT-0146/2023,Perkara Nomor 146,2018,Dikabulkan,https://jdih.mkri.id/detail/146,Dikabulkan,False,True,False,False,1
PUT-0147/2023,Perkara Nomor 147,2023,Dikabulkan,https://jdih.mkri.id/detail/147,Dikabulkan,False,False,False,True,1
PUT-0148/2023,Perkara Nomor 148,2020,Ditolak,https://jdih.mkri.id/detail/148,Ditolak,False,False,True,False,0
PUT-0149/2023,Perkara Nomor 149,2019,Ditolak,https://jdih.mkri.id/detail/149,Ditolak,False,True,False,False,0
PUT-0150/2023,Perkara Nomor 150,2021,Tidak Diterima,https://jdih.mkri.id/detail/150,Tidak Diterima,False,False,False,True,0
PUT-0151/2023,Perkara Nomor 151,2021,Dikabulkan,https://jdih.mkri.id/detail/151,Dikabulkan,False,True,False,False,1
PUT-0152/2023,Perkara Nomor 152,2020,Dikabulkan,https://jdih.mkri.id/detail/152,Dikabulkan,True,False,False,False,1
PUT-0153/2023,Perkara Nomor 153,2019,Dikabulkan,https://jdih.mkri.id/detail/153,Dikabulkan,False,False,True,False,1
PUT-0154/2023,Perkara Nomor 154,2020,Tidak Diterima,https://jdih.mkri.id/detail/154,Tidak Diterima,False,True,False,False,0
PUT-0155/2023,Perkara Nomor 155,2021,Tidak Diterima,https://jdih.mkri.id/detail/155,Tidak Diterima,False,False,False,True,0
PUT-0156/2023,Perkara Nomor 156,2020,Dikabulkan,https://jdih.mkri.id/detail/156,Dikabulkan,False,False,True,False,1
PUT-0157/2023,Perkara Nomor 157,2018,Ditolak,https://jdih.mkri.id/detail/157,Ditolak,False,False,True,False,0
PUT-0158/2023,Perkara Nomor 158,2021,Ditolak,https://jdih.mkri.id/detail/158,Ditolak,False,False,True,False,0
PUT-0159/2023,Perkara Nomor 159,2020,Ditolak,https://jdih.mkri.id/detail/159,Ditolak,False,True,False,False,0
PUT-0160/2023,Perkara Nomor 160,2019,Dikabulkan,https://jdih.mkri.id/detail/160,Dikabulkan,False,True,False,False,1
PUT-0161/2023,Perkara Nomor 161,2023,Tidak Diterima,https://jdih.mkri.id/detail/161,Tidak Diterima,False,True,False,False,0
PUT-0162/2023,Perkara Nomor 162,2019,Ditolak,https://jdih.mkri.id/detail/162,Ditolak,False,True,False,False,0
PUT-0163/2023,Perkara Nomor 163,2023,Dikabulkan,https://jdih.mkri.id/detail/163,Dikabulkan,False,False,True,False,1
PUT-0164/2023,Perkara Nomor 164,2020,Ditolak,https://jdih.mkri.id/detail/164,Ditolak,False,True,False,False,0
PUT-0165/2023,Perkara Nomor 165,2018,Tidak Diterima,https://jdih.mkri.id/detail/165,Tidak Diterima,False,False,True,False,0
PUT-0166/2023,Perkara Nomor 166,2021,Tidak Diterima,https://jdih.mkri.id/detail/166,Tidak Diterima,False,True,False,False,0
PUT-0167/2023,Perkara Nomor 167,2019,Ditolak,https://jdih.mkri.id/detail/167,Ditolak,False,True,False,False,0
PUT-0168/2023,Perkara Nomor 168,2020,Ditolak,https://jdih.mkri.id/detail/168,Ditolak,False,False,True,False,0
PUT-0169/2023,Perkara Nomor 169,2019,Ditolak,https://jdih.mkri.id/detail/169,Ditolak,False,False,True,False,0
PUT-0170/2023,Perkara Nomor 170,2020,Dikabulkan,https://jdih.mkri.id/detail/170,Dikabulkan,False,True,False,False,1
PUT-0171/2023,Perkara Nomor 171,2022,Tidak Diterima,https://jdih.mkri.id/detail/171,Tidak Diterima,False,False,True,False,0
PUT-0172/2023,Perkara Nomor 172,2018,Dikabulkan,https://jdih.mkri.id/detail/172,Dikabulkan,False,True,False,False,1
PUT-0173/2023,Perkara Nomor 173,2018,Dikabulkan,https://jdih.mkri.id/detail/173,Dikabulkan,False,False,True,False,1
PUT-0174/2023,Perkara Nomor 174,2021,Tidak Diterima,https://jdih.mkri.id/detail/174,Tidak Diterima,False,True,False,False,0
PUT-0175/2023,Perkara Nomor 175,2020,Tidak Diterima,https://jdih.mkri.id/detail/175,Tidak Diterima,False,False,True,False,0
PUT-0176/2023,Perkara Nomor 176,2018,Ditolak,https://jdih.mkri.id/detail/176,Ditolak,False,False,True,False,0
PUT-0177/2023,Perkara Nomor 177,2018,Ditolak,https://jdih.mkri.id/detail/177,Ditolak,False,False,True,False,0
PUT-0178/2023,Perkara Nomor 178,2019,Tidak Diterima,https://jdih.mkri.id/detail/178,Tidak Diterima,True,False,False,False,0
PUT-0179/2023,Perkara Nomor 179,2020,Tidak Diterima,https://jdih.mkri.id/detail/179,Tidak Diterima,True,False,False,False,0
PUT-0180/2023,Perkara Nomor 180,2023,Ditolak,https://jdih.mkri.id/detail/180,Ditolak,False,False,True,False,0
PUT-0181/2023,Perkara Nomor 181,2023,Tidak Diterima,https://jdih.mkri.id/detail/181,Tidak Diterima,True,False,False,False,0
PUT-0182/2023,Perkara Nomor 182,2020,Ditolak,https://jdih.mkri.id/detail/182,Ditolak,False,True,False,False,0
PUT-0183/2023,Perkara Nomor 183,2021,Ditolak,https://jdih.mkri.id/detail/183,Ditolak,False,False,True,False,0
PUT-0184/2023,Perkara Nomor 184,2021,Ditolak,https://jdih.mkri.id/detail/184,Ditolak,False,False,False,True,0
PUT-0185/2023,Perkara Nomor 185,2020,Ditolak,https://jdih.mkri.id/detail/185,Ditolak,False,False,True,False,0
PUT-0186/2023,Perkara Nomor 186,2022,Dikabulkan,https://jdih.mkri.id/detail/186,Dikabulkan,False,False,False,True,1
PUT-0187/2023,Perkara Nomor 187,2021,Dikabulkan,https://jdih.mkri.id/detail/187,Dikabulkan,False,False,True,False,1
PUT-0188/2023,Perkara Nomor 188,2018,Dikabulkan,https://jdih.mkri.id/detail/188,Dikabulkan,False,False,True,False,1
PUT-0189/2023,Perkara Nomor 189,2020,Tidak Diterima,https://jdih.mkri.id/detail/189,Tidak Diterima,False,True,False,False,0
PUT-0190/2023,Perkara Nomor 190,2021,Ditolak,https://jdih.mkri.id/detail/190,Ditolak,False,False,True,False,0
PUT-0191/2023,Perkara Nomor 191,2018,Tidak Diterima,https://jdih.mkri.id/detail/191,Tidak Diterima,False,False,True,False,0
PUT-0192/2023,Perkara Nomor 192,2020,Tidak Diterima,https://jdih.mkri.id/detail/192,Tidak Diterima,False,False,True,False,0
PUT-0193/2023,Perkara Nomor 193,2021,Dikabulkan,https://jdih.mkri.id/detail/193,Dikabulkan,False,True,False,False,1
PUT-0194/2023,Perkara Nomor 194,2018,Ditolak,https://jdih.mkri.id/detail/194,Ditolak,True,False,False,False,0
PUT-0195/2023,Perkara Nomor 195,2020,Dikabulkan,https://jdih.mkri.id/detail/195,Dikabulkan,False,True,False,False,1
PUT-0196/2023,Perkara Nomor 196,2022,Tidak Diterima,https://jdih.mkri.id/detail/196,Tidak Diterima,True,False,False,False,0
PUT-0197/2023,Perkara Nomor 197,2018,Ditolak,https://jdih.mkri.id/detail/197,Ditolak,False,True,False,False,0
PUT-0198/2023,Perkara Nomor 198,2022,Ditolak,https://jdih.mkri.id/detail/198,Ditolak,False,False,False,True,0
PUT-0199/2023,Perkara Nomor 199,2021,Dikabulkan,https://jdih.mkri.id/detail/199,Dikabulkan,True,False,False,False,1
PUT-0200/2023,Perkara Nomor 200,2019,Dikabulkan,https://jdih.mkri.id/detail/200,Dikabulkan,False,True,False,False,1
PUT-0201/2023,Perkara Nomor 201,2021,Tidak Diterima,https://jdih.mkri.id/detail/201,Tidak Diterima,False,True,False,False,0
PUT-0202/2023,Perkara Nomor 202,2019,Ditolak,https://jdih.mkri.id/detail/202,Ditolak,False,False,True,False,0
PUT-0203/2023,Perkara Nomor 203,2023,Ditolak,https://jdih.mkri.id/detail/203,Ditolak,False,False,True,False,0
PUT-0204/2023,Perkara Nomor 204,2022,Ditolak,https://jdih.mkri.id/detail/204,Ditolak,False,False,True,False,0
PUT-0205/2023,Perkara Nomor 205,2020,Ditolak,https://jdih.mkri.id/detail/205,Ditolak,False,False,True,False,0
PUT-0206/2023,Perkara Nomor 206,2022,Tidak Diterima,https://jdih.mkri.id/detail/206,Tidak Diterima,False,True,False,False,0
PUT-0207/2023,Perkara Nomor 207,2023,Dikabulkan,https://jdih.mkri.id/detail/207,Dikabulkan,False,False,True,False,1
PUT-0208/2023,Perkara Nomor 208,2023,Tidak Diterima,https://jdih.mkri.id/detail/208,Tidak Diterima,False,False,True,False,0
PUT-0209/2023,Perkara Nomor 209,2022,Dikabulkan,https://jdih.mkri.id/detail/209,Dikabulkan,False,False,True,False,1
